image,method,score_type,score,src,copied
Places365_test_00000045,lama_hybrid_blend_cut01,lpips,0.00047,results/lama_hybrid/Places365_test_00000045_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00000045_best_lama_hybrid_blend_cut01.png
Places365_test_00002782,lama_hybrid_blend_cut01,lpips,0.044055,results/lama_hybrid/Places365_test_00002782_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00002782_best_lama_hybrid_blend_cut01.png
Places365_test_00002944,lama_hybrid_blend_cut01,lpips,0.003604,results/lama_hybrid/Places365_test_00002944_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00002944_best_lama_hybrid_blend_cut01.png
Places365_test_00003005,lama_hybrid_blend_cut01,lpips,0.000234,results/lama_hybrid/Places365_test_00003005_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00003005_best_lama_hybrid_blend_cut01.png
Places365_test_00003091,lama_hybrid_blend_cut01,lpips,0.000549,results/lama_hybrid/Places365_test_00003091_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00003091_best_lama_hybrid_blend_cut01.png
Places365_test_00003640,lama_hybrid_blend_cut01,lpips,0.001637,results/lama_hybrid/Places365_test_00003640_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00003640_best_lama_hybrid_blend_cut01.png
Places365_test_00004094,lama_hybrid_blend_cut01,lpips,0.018272,results/lama_hybrid/Places365_test_00004094_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00004094_best_lama_hybrid_blend_cut01.png
Places365_test_00004414,lama_hybrid_blend_cut01,lpips,0.00067,results/lama_hybrid/Places365_test_00004414_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00004414_best_lama_hybrid_blend_cut01.png
Places365_test_00004683,lama_hybrid_blend_cut01,lpips,0.020008,results/lama_hybrid/Places365_test_00004683_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00004683_best_lama_hybrid_blend_cut01.png
Places365_test_00005181,lama_hybrid_blend_cut01,lpips,0.029438,results/lama_hybrid/Places365_test_00005181_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00005181_best_lama_hybrid_blend_cut01.png
Places365_test_00005266,lama_hybrid_blend_cut01,lpips,0.000762,results/lama_hybrid/Places365_test_00005266_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00005266_best_lama_hybrid_blend_cut01.png
Places365_test_00005537,lama_hybrid_blend_cut01,lpips,0.00422,results/lama_hybrid/Places365_test_00005537_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00005537_best_lama_hybrid_blend_cut01.png
Places365_test_00005573,lama_hybrid_blend_cut01,lpips,0.003896,results/lama_hybrid/Places365_test_00005573_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00005573_best_lama_hybrid_blend_cut01.png
Places365_test_00006809,lama_hybrid_blend_cut01,lpips,0.06292,results/lama_hybrid/Places365_test_00006809_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00006809_best_lama_hybrid_blend_cut01.png
Places365_test_00007887,lama_hybrid_blend_cut01,lpips,0.037066,results/lama_hybrid/Places365_test_00007887_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00007887_best_lama_hybrid_blend_cut01.png
Places365_test_00008716,lama_hybrid_blend_cut01,lpips,0.020759,results/lama_hybrid/Places365_test_00008716_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00008716_best_lama_hybrid_blend_cut01.png
Places365_test_00009029,lama_hybrid_blend_cut01,lpips,0.007273,results/lama_hybrid/Places365_test_00009029_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00009029_best_lama_hybrid_blend_cut01.png
Places365_test_00009938,lama_hybrid_blend_cut01,lpips,0.000368,results/lama_hybrid/Places365_test_00009938_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00009938_best_lama_hybrid_blend_cut01.png
Places365_test_00010896,lama_hybrid_blend_cut01,lpips,0.005109,results/lama_hybrid/Places365_test_00010896_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00010896_best_lama_hybrid_blend_cut01.png
Places365_test_00010897,lama_hybrid_blend_cut01,lpips,0.00058,results/lama_hybrid/Places365_test_00010897_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00010897_best_lama_hybrid_blend_cut01.png
Places365_test_00011411,lama_hybrid_blend_cut01,lpips,0.000555,results/lama_hybrid/Places365_test_00011411_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00011411_best_lama_hybrid_blend_cut01.png
Places365_test_00012341,lama_hybrid_blend_cut01,lpips,2.4e-05,results/lama_hybrid/Places365_test_00012341_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00012341_best_lama_hybrid_blend_cut01.png
Places365_test_00014151,lama_hybrid_blend_cut01,lpips,0.0001,results/lama_hybrid/Places365_test_00014151_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00014151_best_lama_hybrid_blend_cut01.png
Places365_test_00015885,lama_hybrid_blend_cut01,lpips,0.022267,results/lama_hybrid/Places365_test_00015885_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00015885_best_lama_hybrid_blend_cut01.png
Places365_test_00017720,lama_hybrid_blend_cut01,lpips,0.016673,results/lama_hybrid/Places365_test_00017720_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00017720_best_lama_hybrid_blend_cut01.png
Places365_test_00017896,lama_hybrid_blend_cut01,lpips,0.003767,results/lama_hybrid/Places365_test_00017896_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00017896_best_lama_hybrid_blend_cut01.png
Places365_test_00020442,lama_hybrid_blend_cut01,lpips,0.01517,results/lama_hybrid/Places365_test_00020442_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00020442_best_lama_hybrid_blend_cut01.png
Places365_test_00020666,lama_hybrid_blend_cut01,lpips,0.000956,results/lama_hybrid/Places365_test_00020666_lama_hybrid_blend_cut01.png,results/best_variant/Places365_test_00020666_best_lama_hybrid_blend_cut01.png
