image,method,psnr,lpips,path
Places365_test_00000045,telea,26.9791,0.063723,results/classical/Places365_test_00000045_telea.png
Places365_test_00000045,ns,27.7638,0.059433,results/classical/Places365_test_00000045_ns.png
Places365_test_00000045,lama,34.4195,0.011655,results/lama/Places365_test_00000045_lama.png
Places365_test_00000045,lama_hybrid_lowpass_cut10,29.9803,0.238090,results/lama_hybrid/Places365_test_00000045_lama_hybrid_lowpass_cut10.png
Places365_test_00000045,lama_hybrid_blend_cut01,43.0710,0.000470,results/lama_hybrid/Places365_test_00000045_lama_hybrid_blend_cut01.png
Places365_test_00000045,lama_hybrid_blend_cut05,36.4145,0.003763,results/lama_hybrid/Places365_test_00000045_lama_hybrid_blend_cut05.png
Places365_test_00000045,lama_hybrid_lowpass_cut01,19.6585,0.681728,results/lama_hybrid/Places365_test_00000045_lama_hybrid_lowpass_cut01.png
Places365_test_00000045,lama_hybrid_blend_cut10,35.4589,0.006402,results/lama_hybrid/Places365_test_00000045_lama_hybrid_blend_cut10.png
Places365_test_00000045,lama_hybrid_blend_cut02,39.1782,0.001319,results/lama_hybrid/Places365_test_00000045_lama_hybrid_blend_cut02.png
Places365_test_00000045,lama_hybrid_lowpass_cut05,27.0897,0.414832,results/lama_hybrid/Places365_test_00000045_lama_hybrid_lowpass_cut05.png
Places365_test_00000045,lama_hybrid_lowpass_cut02,23.1780,0.594997,results/lama_hybrid/Places365_test_00000045_lama_hybrid_lowpass_cut02.png
Places365_test_00002782,telea,13.3198,0.591572,results/classical/Places365_test_00002782_telea.png
Places365_test_00002782,ns,13.6849,0.594384,results/classical/Places365_test_00002782_ns.png
Places365_test_00002782,lama,14.3331,0.360716,results/lama/Places365_test_00002782_lama.png
Places365_test_00002782,lama_hybrid_lowpass_cut10,14.3677,0.729784,results/lama_hybrid/Places365_test_00002782_lama_hybrid_lowpass_cut10.png
Places365_test_00002782,lama_hybrid_lowpass_cut02,13.7695,0.908952,results/lama_hybrid/Places365_test_00002782_lama_hybrid_lowpass_cut02.png
Places365_test_00002782,lama_hybrid_blend_cut01,21.1489,0.044055,results/lama_hybrid/Places365_test_00002782_lama_hybrid_blend_cut01.png
Places365_test_00002782,lama_hybrid_lowpass_cut05,14.2242,0.832522,results/lama_hybrid/Places365_test_00002782_lama_hybrid_lowpass_cut05.png
Places365_test_00002782,lama_hybrid_blend_cut10,15.7684,0.256349,results/lama_hybrid/Places365_test_00002782_lama_hybrid_blend_cut10.png
Places365_test_00002782,lama_hybrid_blend_cut02,18.6963,0.081490,results/lama_hybrid/Places365_test_00002782_lama_hybrid_blend_cut02.png
Places365_test_00002782,lama_hybrid_lowpass_cut01,13.1262,0.926839,results/lama_hybrid/Places365_test_00002782_lama_hybrid_lowpass_cut01.png
Places365_test_00002782,lama_hybrid_blend_cut05,16.7220,0.149285,results/lama_hybrid/Places365_test_00002782_lama_hybrid_blend_cut05.png
Places365_test_00002944,telea,22.1685,0.414341,results/classical/Places365_test_00002944_telea.png
Places365_test_00002944,ns,22.4834,0.417782,results/classical/Places365_test_00002944_ns.png
Places365_test_00002944,lama,26.8022,0.244723,results/lama/Places365_test_00002944_lama.png
Places365_test_00002944,lama_hybrid_blend_cut10,29.3847,0.070931,results/lama_hybrid/Places365_test_00002944_lama_hybrid_blend_cut10.png
Places365_test_00002944,lama_hybrid_blend_cut01,35.8472,0.003604,results/lama_hybrid/Places365_test_00002944_lama_hybrid_blend_cut01.png
Places365_test_00002944,lama_hybrid_lowpass_cut10,26.3285,0.538086,results/lama_hybrid/Places365_test_00002944_lama_hybrid_lowpass_cut10.png
Places365_test_00002944,lama_hybrid_blend_cut05,30.6663,0.033757,results/lama_hybrid/Places365_test_00002944_lama_hybrid_blend_cut05.png
Places365_test_00002944,lama_hybrid_lowpass_cut05,25.5842,0.618195,results/lama_hybrid/Places365_test_00002944_lama_hybrid_lowpass_cut05.png
