image,telea_psnr,ns_psnr,lama_psnr,lama_hybrid_blend_cut01_psnr,lama_hybrid_blend_cut02_psnr,lama_hybrid_blend_cut05_psnr,lama_hybrid_blend_cut10_psnr,lama_hybrid_lowpass_cut01_psnr,lama_hybrid_lowpass_cut02_psnr,lama_hybrid_lowpass_cut05_psnr,lama_hybrid_lowpass_cut10_psnr,telea_lpips,ns_lpips,lama_lpips,lama_hybrid_blend_cut01_lpips,lama_hybrid_blend_cut02_lpips,lama_hybrid_blend_cut05_lpips,lama_hybrid_blend_cut10_lpips,lama_hybrid_lowpass_cut01_lpips,lama_hybrid_lowpass_cut02_lpips,lama_hybrid_lowpass_cut05_lpips,lama_hybrid_lowpass_cut10_lpips,telea_path,ns_path,lama_path,lama_hybrid_blend_cut01_path,lama_hybrid_blend_cut02_path,lama_hybrid_blend_cut05_path,lama_hybrid_blend_cut10_path,lama_hybrid_lowpass_cut01_path,lama_hybrid_lowpass_cut02_path,lama_hybrid_lowpass_cut05_path,lama_hybrid_lowpass_cut10_path
Places365_test_00000045,26.9791,27.7638,34.4195,43.0710,39.1782,36.4145,35.4589,19.6585,23.1780,27.0897,29.9803,0.063723,0.059433,0.011655,0.000470,0.001319,0.003763,0.006402,0.681728,0.594997,0.414832,0.238090,results/classical/Places365_test_00000045_telea.png,results/classical/Places365_test_00000045_ns.png,results/lama/Places365_test_00000045_lama.png,results/lama_hybrid/Places365_test_00000045_lama_hybrid_blend_cut01.png,results/lama_hybrid/Places365_test_00000045_lama_hybrid_blend_cut02.png,results/lama_hybrid/Places365_test_00000045_lama_hybrid_blend_cut05.png,results/lama_hybrid/Places365_test_00000045_lama_hybrid_blend_cut10.png,results/lama_hybrid/Places365_test_00000045_lama_hybrid_lowpass_cut01.png,results/lama_hybrid/Places365_test_00000045_lama_hybrid_lowpass_cut02.png,results/lama_hybrid/Places365_test_00000045_lama_hybrid_lowpass_cut05.png,results/lama_hybrid/Places365_test_00000045_lama_hybrid_lowpass_cut10.png
Places365_test_00002782,13.3198,13.6849,14.3331,21.1489,18.6963,16.7220,15.7684,13.1262,13.7695,14.2242,14.3677,0.591572,0.594384,0.360716,0.044055,0.081490,0.149285,0.256349,0.926839,0.908952,0.832522,0.729784,results/classical/Places365_test_00002782_telea.png,results/classical/Places365_test_00002782_ns.png,results/lama/Places365_test_00002782_lama.png,results/lama_hybrid/Places365_test_00002782_lama_hybrid_blend_cut01.png,results/lama_hybrid/Places365_test_00002782_lama_hybrid_blend_cut02.png,results/lama_hybrid/Places365_test_00002782_lama_hybrid_blend_cut05.png,results/lama_hybrid/Places365_test_00002782_lama_hybrid_blend_cut10.png,results/lama_hybrid/Places365_test_00002782_lama_hybrid_lowpass_cut01.png,results/lama_hybrid/Places365_test_00002782_lama_hybrid_lowpass_cut02.png,results/lama_hybrid/Places365_test_00002782_lama_hybrid_lowpass_cut05.png,results/lama_hybrid/Places365_test_00002782_lama_hybrid_lowpass_cut10.png
Places365_test_00002944,22.1685,22.4834,26.8022,35.8472,33.2695,30.6663,29.3847,21.8124,23.8418,25.5842,26.3285,0.414341,0.417782,0.244723,0.003604,0.009736,0.033757,0.070931,0.648651,0.643174,0.618195,0.538086,results/classical/Places365_test_00002944_telea.png,results/classical/Places365_test_00002944_ns.png,results/lama/Places365_test_00002944_lama.png,results/lama_hybrid/Places365_test_00002944_lama_hybrid_blend_cut01.png,results/lama_hybrid/Places365_test_00002944_lama_hybrid_blend_cut02.png,results/lama_hybrid/Places365_test_00002944_lama_hybrid_blend_cut05.png,results/lama_hybrid/Places365_test_00002944_lama_hybrid_blend_cut10.png,results/lama_hybrid/Places365_test_00002944_lama_hybrid_lowpass_cut01.png,results/lama_hybrid/Places365_test_00002944_lama_hybrid_lowpass_cut02.png,results/lama_hybrid/Places365_test_00002944_lama_hybrid_lowpass_cut05.png,results/lama_hybrid/Places365_test_00002944_lama_hybrid_lowpass_cut10.png
Places365_test_00003005,33.7826,33.8324,33.5067,49.2570,45.6374,41.7504,38.6711,23.8192,24.8685,26.5073,28.3292,0.102933,0.098137,0.041974,0.000234,0.000633,0.004737,0.020479,0.861922,0.870751,0.755373,0.487145,results/classical/Places365_test_00003005_telea.png,results/classical/Places365_test_00003005_ns.png,results/lama/Places365_test_00003005_lama.png,results/lama_hybrid/Places365_test_00003005_lama_hybrid_blend_cut01.png,results/lama_hybrid/Places365_test_00003005_lama_hybrid_blend_cut02.png,results/lama_hybrid/Places365_test_00003005_lama_hybrid_blend_cut05.png,results/lama_hybrid/Places365_test_00003005_lama_hybrid_blend_cut10.png,results/lama_hybrid/Places365_test_00003005_lama_hybrid_lowpass_cut01.png,results/lama_hybrid/Places365_test_00003005_lama_hybrid_lowpass_cut02.png,results/lama_hybrid/Places365_test_00003005_lama_hybrid_lowpass_cut05.png,results/lama_hybrid/Places365_test_00003005_lama_hybrid_lowpass_cut10.png
Places365_test_00003091,31.5524,32.2856,34.8590,47.7619,43.8377,39.8485,37.6407,18.0158,21.0865,24.7676,27.6650,0.053395,0.052215,0.023100,0.000549,0.001940,0.006815,0.014264,0.736382,0.717119,0.606210,0.420182,results/classical/Places365_test_00003091_telea.png,results/classical/Places365_test_00003091_ns.png,results/lama/Places365_test_00003091_lama.png,results/lama_hybrid/Places365_test_00003091_lama_hybrid_blend_cut01.png,results/lama_hybrid/Places365_test_00003091_lama_hybrid_blend_cut02.png,results/lama_hybrid/Places365_test_00003091_lama_hybrid_blend_cut05.png,results/lama_hybrid/Places365_test_00003091_lama_hybrid_blend_cut10.png,results/lama_hybrid/Places365_test_00003091_lama_hybrid_lowpass_cut01.png,results/lama_hybrid/Places365_test_00003091_lama_hybrid_lowpass_cut02.png,results/lama_hybrid/Places365_test_00003091_lama_hybrid_lowpass_cut05.png,results/lama_hybrid/Places365_test_00003091_lama_hybrid_lowpass_cut10.png
Places365_test_00003640,22.6701,22.2983,24.4319,37.9824,34.2568,30.0878,27.4588,17.1386,19.0203,21.4103,22.9722,0.136228,0.136717,0.062562,0.001637,0.004995,0.016214,0.031890,0.757484,0.705763,0.573812,0.397870,results/classical/Places365_test_00003640_telea.png,results/classical/Places365_test_00003640_ns.png,results/lama/Places365_test_00003640_lama.png,results/lama_hybrid/Places365_test_00003640_lama_hybrid_blend_cut01.png,results/lama_hybrid/Places365_test_00003640_lama_hybrid_blend_cut02.png,results/lama_hybrid/Places365_test_00003640_lama_hybrid_blend_cut05.png,results/lama_hybrid/Places365_test_00003640_lama_hybrid_blend_cut10.png,results/lama_hybrid/Places365_test_00003640_lama_hybrid_lowpass_cut01.png,results/lama_hybrid/Places365_test_00003640_lama_hybrid_lowpass_cut02.png,results/lama_hybrid/Places365_test_00003640_lama_hybrid_lowpass_cut05.png,results/lama_hybrid/Places365_test_00003640_lama_hybrid_lowpass_cut10.png
Places365_test_00004094,14.8034,14.5909,15.6417,25.1638,22.2982,19.4590,17.9448,14.2306,14.8582,15.5837,15.7856,0.622822,0.594416,0.330558,0.018272,0.040108,0.103541,0.192293,0.953386,0.910314,0.800781,0.663272,results/classical/Places365_test_00004094_telea.png,results/classical/Places365_test_00004094_ns.png,results/lama/Places365_test_00004094_lama.png,results/lama_hybrid/Places365_test_00004094_lama_hybrid_blend_cut01.png,results/lama_hybrid/Places365_test_00004094_lama_hybrid_blend_cut02.png,results/lama_hybrid/Places365_test_00004094_lama_hybrid_blend_cut05.png,results/lama_hybrid/Places365_test_00004094_lama_hybrid_blend_cut10.png,results/lama_hybrid/Places365_test_00004094_lama_hybrid_lowpass_cut01.png,results/lama_hybrid/Places365_test_00004094_lama_hybrid_lowpass_cut02.png,results/lama_hybrid/Places365_test_00004094_lama_hybrid_lowpass_cut05.png,results/lama_hybrid/Places365_test_00004094_lama_hybrid_lowpass_cut10.png
Places365_test_00004414,25.6802,25.9599,27.6313,40.7049,37.0844,32.5848,30.1927,17.8092,19.7753,22.3987,24.6456,0.138433,0.137855,0.039971,0.000670,0.002005,0.006898,0.016003,0.842086,0.749008,0.571963,0.345137,results/classical/Places365_test_00004414_telea.png,results/classical/Places365_test_00004414_ns.png,results/lama/Places365_test_00004414_lama.png,results/lama_hybrid/Places365_test_00004414_lama_hybrid_blend_cut01.png,results/lama_hybrid/Places365_test_00004414_lama_hybrid_blend_cut02.png,results/lama_hybrid/Places365_test_00004414_lama_hybrid_blend_cut05.png,results/lama_hybrid/Places365_test_00004414_lama_hybrid_blend_cut10.png,results/lama_hybrid/Places365_test_00004414_lama_hybrid_lowpass_cut01.png,results/lama_hybrid/Places365_test_00004414_lama_hybrid_lowpass_cut02.png,results/lama_hybrid/Places365_test_00004414_lama_hybrid_lowpass_cut05.png,results/lama_hybrid/Places365_test_00004414_lama_hybrid_lowpass_cut10.png
Places365_test_00004683,19.1501,18.9902,20.4021,27.0154,24.4364,22.5940,21.7318,18.8367,19.5613,20.1070,20.3634,0.430329,0.424728,0.311599,0.020008,0.043290,0.096560,0.162821,0.817447,0.794684,0.669648,0.527881,results/classical/Places365_test_00004683_telea.png,results/classical/Places365_test_00004683_ns.png,results/lama/Places365_test_00004683_lama.png,results/lama_hybrid/Places365_test_00004683_lama_hybrid_blend_cut01.png,results/lama_hybrid/Places365_test_00004683_lama_hybrid_blend_cut02.png,results/lama_hybrid/Places365_test_00004683_lama_hybrid_blend_cut05.png,results/lama_hybrid/Places365_test_00004683_lama_hybrid_blend_cut10.png,results/lama_hybrid/Places365_test_00004683_lama_hybrid_lowpass_cut01.png,results/lama_hybrid/Places365_test_00004683_lama_hybrid_lowpass_cut02.png,results/lama_hybrid/Places365_test_00004683_lama_hybrid_lowpass_cut05.png,results/lama_hybrid/Places365_test_00004683_lama_hybrid_lowpass_cut10.png
Places365_test_00005181,12.9722,12.9584,13.3238,21.6199,19.2806,17.0596,15.5764,13.2408,13.4625,13.6679,13.6746,0.703894,0.710881,0.401474,0.029438,0.064633,0.166895,0.289393,0.967507,0.945257,0.863715,0.719985,results/classical/Places365_test_00005181_telea.png,results/classical/Places365_test_00005181_ns.png,results/lama/Places365_test_00005181_lama.png,results/lama_hybrid/Places365_test_00005181_lama_hybrid_blend_cut01.png,results/lama_hybrid/Places365_test_00005181_lama_hybrid_blend_cut02.png,results/lama_hybrid/Places365_test_00005181_lama_hybrid_blend_cut05.png,results/lama_hybrid/Places365_test_00005181_lama_hybrid_blend_cut10.png,results/lama_hybrid/Places365_test_00005181_lama_hybrid_lowpass_cut01.png,results/lama_hybrid/Places365_test_00005181_lama_hybrid_lowpass_cut02.png,results/lama_hybrid/Places365_test_00005181_lama_hybrid_lowpass_cut05.png,results/lama_hybrid/Places365_test_00005181_lama_hybrid_lowpass_cut10.png
